Unnamed: 0,_time,etat_failed
132,2022-04-30 00:00:00+00:00,1
133,2022-05-01 00:00:00+00:00,31
134,2022-05-02 00:00:00+00:00,112
135,2022-05-03 00:00:00+00:00,113
136,2022-05-04 00:00:00+00:00,97
137,2022-05-05 00:00:00+00:00,68
138,2022-05-06 00:00:00+00:00,1
139,2022-05-08 00:00:00+00:00,21
140,2022-05-09 00:00:00+00:00,559
141,2022-05-10 00:00:00+00:00,498
142,2022-05-11 00:00:00+00:00,88
143,2022-05-12 00:00:00+00:00,92
144,2022-05-13 00:00:00+00:00,71
145,2022-05-14 00:00:00+00:00,63
146,2022-05-15 00:00:00+00:00,94
147,2022-05-16 00:00:00+00:00,73
148,2022-05-17 00:00:00+00:00,139
149,2022-05-18 00:00:00+00:00,158
150,2022-05-19 00:00:00+00:00,138
151,2022-05-20 00:00:00+00:00,131
152,2022-05-21 00:00:00+00:00,107
153,2022-05-22 00:00:00+00:00,137
154,2022-05-23 00:00:00+00:00,142
155,2022-05-24 00:00:00+00:00,135
156,2022-05-25 00:00:00+00:00,126
157,2022-05-26 00:00:00+00:00,24
158,2022-05-27 00:00:00+00:00,85
159,2022-05-28 00:00:00+00:00,7
160,2022-05-29 00:00:00+00:00,31
161,2022-05-30 00:00:00+00:00,121
162,2022-05-31 00:00:00+00:00,109
163,2022-06-01 00:00:00+00:00,113
164,2022-06-02 00:00:00+00:00,140
165,2022-06-03 00:00:00+00:00,104
166,2022-06-04 00:00:00+00:00,93
167,2022-06-05 00:00:00+00:00,127
168,2022-06-06 00:00:00+00:00,114
169,2022-06-07 00:00:00+00:00,116
170,2022-06-08 00:00:00+00:00,105
171,2022-06-09 00:00:00+00:00,130
172,2022-06-10 00:00:00+00:00,101
173,2022-06-11 00:00:00+00:00,86
174,2022-06-12 00:00:00+00:00,111
175,2022-06-13 00:00:00+00:00,84
176,2022-06-14 00:00:00+00:00,85
177,2022-06-15 00:00:00+00:00,101
178,2022-06-16 00:00:00+00:00,84
179,2022-06-17 00:00:00+00:00,125
180,2022-06-18 00:00:00+00:00,130
181,2022-06-19 00:00:00+00:00,144
182,2022-06-20 00:00:00+00:00,137
183,2022-06-21 00:00:00+00:00,265
184,2022-06-22 00:00:00+00:00,197
185,2022-06-23 00:00:00+00:00,140
186,2022-06-24 00:00:00+00:00,170
187,2022-06-25 00:00:00+00:00,91
188,2022-06-26 00:00:00+00:00,178
189,2022-06-27 00:00:00+00:00,132
190,2022-06-28 00:00:00+00:00,127
191,2022-06-29 00:00:00+00:00,121
192,2022-06-30 00:00:00+00:00,139
193,2022-07-01 00:00:00+00:00,110
194,2022-07-02 00:00:00+00:00,126
195,2022-07-03 00:00:00+00:00,115
196,2022-07-04 00:00:00+00:00,102
197,2022-07-05 00:00:00+00:00,115
198,2022-07-06 00:00:00+00:00,77
199,2022-07-07 00:00:00+00:00,136
200,2022-07-08 00:00:00+00:00,151
201,2022-07-09 00:00:00+00:00,162
202,2022-07-10 00:00:00+00:00,182
203,2022-07-11 00:00:00+00:00,167
204,2022-07-12 00:00:00+00:00,194
205,2022-07-13 00:00:00+00:00,144
